sentiment,tokens
0,"['awesome', 'wordpress', 'web', 'log', 'hacked', 'fun', 'evening', 'ahead']"
0,"['remember', 'birthday']"
0,"['let', 'watch', 'video', 'cause', 'private']"
0,"['hole', 'galway', 'door', 'gaa']"
0,"['find', 'eye', 'bruised', 'andrew', 'beast', 'team', 'chicken', 'fighting', 'undefeated', 'night', 'liz', 'house']"
0,['fun']
0,"['court', 'day', 'wait', 'summer']"
0,"['sorry', 'nintendo']"
0,['lonely']
0,['inaperfectworld']
0,"['twitter', 'broken', 'miss']"
0,"['ugh', 'sooo', 'sick', 'past', 'day', 'finally', 'suck', 'miss', 'acting', 'camp', 'miss', 'day']"
0,"['owl', 'city', 'coming', 'toronto', 'september', 'want', 'come', 'ottawa']"
0,"['little', 'car', 'date', 'smash', 'repair', 'shop']"
0,"['home', 'hungry', 'bother', 'outside']"
0,"['happen', 'leave', 'long']"
0,"['allegedly', 'hitler', 'want', 'kidnap', 'kill', 'pope']"
0,"['donot', 'want', 'work']"
0,"['run', 'kid', 'school', 'instant', 'message', 'home', 'leave', 'pick', 'kid', 'school', 'someplace', 'food']"
0,"['errand', 'darn', 'raining', 'twitter', 'later']"
0,"['chuck', 'night']"
0,"['hope', 'oklahoma']"
0,"['hole', 'permission', 'access']"
0,"['rest', 'summer', 'son', 'daily', 'studio', 'want', 'run', 'travelin', 'day', 'wokre']"
0,"['lucky', 'girl', 'start', 'rain', 'hard']"
0,"['alway', 'wake', 'short', 'breath', 'mega', 'fast', 'heart', 'beat']"
0,"['bed', '---', 'long', 'day', 'dead', 'hamster', 'amp', 'blame', 'need', 'read', 'crash']"
0,"['enjoy', 'day', 'lot']"
0,"['heck', 'internet', 'error', 'dude', 'talk', 'hot', 'girl', 'fault']"
0,"['movie', 'time', 'sleep', 'mha', 'kiddy', 'jump', 'thee', 'window', 'baby[wtf', "":'(""]"
0,"['cuss', 'teacher', 'today', 'school', 'yeah', 'instant', 'message', 'bust', 'big', 'time', 'haha', 'phone', 'sad', 'find', 'ipod']"
0,"['d**khead', 'expensive', 'taste', 'find', 'tiffany', 'ring', 'store', 'dress', 'right']"
0,"['holiday', 'laura', 'marling', 'playing', 'london', 'gig']"
0,"['boah', 'second', 'time', 'today', 'macbook', 'professional', 'decide', 'restart', 'f**k', 'getting', 'evil']"
0,"['enjoy', 'night', 'shame', 'end', 'reality']"
0,"['father', 'instant', 'message', 'creepy', 'f**k', 'cute']"
0,['iiill']
0,"['donot', 'want', 'time', 'tear']"
0,[]
0,"['day', 'lake', 'big', 'gator', 'time']"
0,"['thing', 'away', 'terrible', 'sunburn', 'lay', 'leg', 'watch', 'movie', 'nap']"
0,"['wow', 'fun', 'wish', 'warped', 'tour', 'summer', 'hope', 'concert', 'soon', 'love', 'katelyn']"
0,"['load', 'shed', 'come', 'mallu', 'kerala']"
0,"['stare', 'candle', 'flame', 'long', 'turn', 'purple', 'blue', 'miss', 'technicolor', 'bring']"
0,"['train', 'tired', 'wake', 'early']"
0,"['looking', 'retainer']"
0,"['apparenty', 'test', 'takin', 'time', 'early']"
0,"['lose', 'amazing', 'contest', 'pain', 'unbearable', 'lt;--spelle', 'wrong']"
0,"['sunny', 'moment', 'instant', 'message', 'guessing', 'mean', 'itl']"
0,"['watch', 'crime', 'scene', 'investigation', 'attack', 'ironing', 'basket', '....', 'week']"
0,"['ready', 'weekend', 'end']"
0,"['yen', 'artbook']"
0,"['follow', 'appointment', 'bad', 'doctor', 'office']"
0,"['reread', 'eat', 'quot;girls&quot', 'instead', 'actually', 'grits', 'disappointed']"
0,"['wish', 'taste', 'festival', 'london', 'week', 'late']"
0,"['france', 'plane', 'crash', 'incident']"
0,"['awwwwww', 'little', 'epsilon', 'scared', 'thunder', 'feel', 'bad', 'cry']"
